numberOfAgents,numberOfCallsPerDay,averageHandleTimeSec,estimatedDurationDays,slaTargetSeconds,risksScore,callTypes,dependencies,CSAT,FCR,estimatedBudgetTND
17,505,350,280,78,0.18,"Support;Tech","CRM;AI;WFM",4.3,0.61,464000.00
19,565,335,316,76,0.17,"Support;Sales","CRM;AI;WFM",4.4,0.62,522000.00
21,625,320,352,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,580000.00
6,200,430,80,106,0.26,"Sales","None",3.8,0.49,120000.00
8,260,390,120,96,0.23,"Support;Sales","CRM",4.0,0.53,180000.00
10,320,360,160,90,0.21,"Support;Tech","CRM;IVR",4.1,0.56,240000.00
12,380,340,200,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,300000.00
14,440,325,240,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,360000.00
16,500,310,280,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,420000.00
18,560,300,320,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,480000.00
20,620,290,360,72,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,540000.00
22,680,280,400,70,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,600000.00
24,740,270,440,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.65,660000.00
4,130,500,52,116,0.30,"Sales","None",3.6,0.45,78000.00
6,190,450,88,102,0.26,"Sales;Support","None",3.8,0.50,144000.00
8,250,410,124,94,0.23,"Support","CRM",4.0,0.54,210000.00
10,310,380,160,88,0.21,"Support;Tech","CRM;IVR",4.1,0.57,276000.00
12,370,355,196,82,0.19,"Support;Sales","CRM;WFM",4.2,0.59,342000.00
14,430,335,232,78,0.18,"Support;Tech","CRM;AI",4.3,0.61,408000.00
16,490,320,268,74,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,474000.00
18,550,305,304,72,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,540000.00
20,610,295,340,70,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.64,606000.00
22,670,285,376,68,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.65,672000.00
3,95,620,30,140,0.35,"Sales","None",3.5,0.40,45600.00
5,155,540,66,118,0.29,"Sales;Support","None",3.7,0.46,124800.00
7,215,480,102,102,0.25,"Support","CRM",3.9,0.51,183600.00
9,275,440,138,96,0.23,"Support;Tech","CRM;IVR",4.0,0.54,242400.00
11,335,410,174,90,0.21,"Support;Sales","CRM;WFM",4.1,0.56,301200.00
13,395,385,210,86,0.20,"Support;Tech","CRM;AI",4.2,0.58,360000.00
15,455,365,246,82,0.19,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,418800.00
17,515,350,282,78,0.18,"Support;Tech","CRM;AI;WFM",4.3,0.61,477600.00
19,575,335,318,76,0.17,"Support;Sales","CRM;AI;WFM",4.4,0.62,536400.00
21,635,320,354,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,595200.00
6,210,420,84,104,0.25,"Sales","None",3.8,0.48,168000.00
8,270,380,120,96,0.22,"Support;Sales","CRM",4.0,0.53,216000.00
10,330,350,156,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,264000.00
12,390,330,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,312000.00
14,450,315,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,360000.00
16,510,300,264,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,408000.00
18,570,290,300,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,456000.00
20,630,280,336,72,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,504000.00
22,690,270,372,70,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,552000.00
24,750,260,408,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.65,600000.00
5,170,470,68,112,0.27,"Sales","None",3.7,0.46,136000.00
7,230,430,104,100,0.24,"Sales;Support","CRM",3.9,0.51,184000.00
9,290,390,140,92,0.22,"Support","CRM;Training",4.0,0.54,232000.00
11,350,360,176,86,0.20,"Support;Tech","CRM;IVR",4.1,0.56,280000.00
13,410,340,212,82,0.19,"Support;Sales","CRM;WFM",4.2,0.58,328000.00
15,470,320,248,78,0.18,"Support;Tech","CRM;AI",4.3,0.60,376000.00
17,530,305,284,74,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,424000.00
19,590,295,320,72,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,472000.00
21,650,285,356,70,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,520000.00
23,710,275,392,68,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,568000.00
6,220,360,92,86,0.21,"Support;Sales","CRM;IVR",4.1,0.65,138240.00
8,280,330,118,80,0.19,"Support;Tech","CRM;WFM",4.2,0.67,184320.00
10,340,305,145,76,0.18,"Support;Sales","CRM;AI",4.3,0.69,230400.00
12,400,290,172,72,0.17,"Support;Tech","CRM;AI;CTI",4.3,0.70,276480.00
14,460,275,199,70,0.16,"Support;Sales;Tech","CRM;AI;WFM",4.4,0.71,322560.00
16,520,260,226,68,0.15,"Support;Tech","CRM;WFM",4.4,0.72,368640.00
18,580,245,253,66,0.14,"Support;Sales","CRM;Training",4.4,0.73,414720.00
20,640,235,280,64,0.13,"Support;Tech","CRM;AI",4.5,0.74,460800.00
22,700,230,307,62,0.12,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.75,506880.00
24,760,225,334,60,0.12,"Support;Tech","CRM;AI;CTI",4.6,0.76,552960.00
5,150,480,48,112,0.28,"Sales","None",3.6,0.44,67200.00
7,210,420,84,100,0.24,"Sales;Support","CRM",3.8,0.50,134400.00
9,270,380,120,92,0.22,"Support","CRM;Training",4.0,0.54,201600.00
11,330,350,156,88,0.20,"Support;Tech","CRM;IVR",4.1,0.56,268800.00
13,390,330,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,336000.00
15,450,315,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,403200.00
17,510,300,264,78,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,470400.00
19,570,285,300,76,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,537600.00
21,630,275,336,74,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,604800.00
23,690,265,372,72,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,672000.00
4,110,540,36,125,0.31,"Sales","None",3.5,0.42,52800.00
6,170,480,72,110,0.27,"Sales;Support","None",3.7,0.47,105600.00
8,230,430,108,100,0.24,"Support","CRM",3.9,0.52,158400.00
10,290,390,144,92,0.22,"Support;Tech","CRM;IVR",4.0,0.55,211200.00
12,350,360,180,86,0.20,"Support;Sales","CRM;WFM",4.1,0.57,264000.00
14,410,340,216,82,0.19,"Support;Tech","CRM;AI",4.2,0.59,316800.00
16,470,325,252,78,0.18,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,369600.00
18,530,310,288,75,0.17,"Support;Tech","CRM;AI;WFM",4.3,0.61,422400.00
20,590,300,324,72,0.16,"Support;Sales","CRM;AI;WFM",4.4,0.62,475200.00
22,650,290,360,70,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.63,528000.00
3,85,620,28,138,0.36,"Sales","None",3.4,0.39,40800.00
5,145,540,64,118,0.29,"Sales;Support","None",3.7,0.46,116000.00
7,205,480,100,102,0.25,"Support","CRM",3.9,0.51,174000.00
9,265,440,136,96,0.23,"Support;Tech","CRM;IVR",4.0,0.54,232000.00
11,325,410,172,90,0.21,"Support;Sales","CRM;WFM",4.1,0.56,290000.00
13,385,385,208,86,0.20,"Support;Tech","CRM;AI",4.2,0.58,348000.00
15,445,365,244,82,0.19,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,406000.00
17,505,350,280,78,0.18,"Support;Tech","CRM;AI;WFM",4.3,0.61,464000.00
19,565,335,316,76,0.17,"Support;Sales","CRM;AI;WFM",4.4,0.62,522000.00
21,625,320,352,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,580000.00
6,200,430,84,106,0.25,"Sales","None",3.8,0.48,96000.00
8,260,390,120,96,0.22,"Support;Sales","CRM",4.0,0.53,156000.00
10,320,360,156,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,208000.00
12,380,340,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,260000.00
14,440,325,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,312000.00
16,500,310,264,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,364000.00
18,560,295,300,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,416000.00
20,620,285,336,72,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,468000.00
22,680,275,372,70,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,520000.00
24,740,265,408,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.65,572000.00
4,130,500,52,116,0.30,"Sales","None",3.6,0.45,78000.00
6,190,450,88,102,0.26,"Sales;Support","None",3.8,0.50,144000.00
8,250,410,124,94,0.23,"Support","CRM",4.0,0.54,210000.00
10,310,380,160,88,0.21,"Support;Tech","CRM;IVR",4.1,0.57,276000.00
12,370,355,196,82,0.19,"Support;Sales","CRM;WFM",4.2,0.59,342000.00
14,430,335,232,78,0.18,"Support;Tech","CRM;AI",4.3,0.61,408000.00
16,490,320,268,74,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,474000.00
18,550,305,304,72,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,540000.00
20,610,295,340,70,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.64,606000.00
22,670,285,376,68,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.65,672000.00
3,95,620,30,140,0.35,"Sales","None",3.5,0.40,45600.00
5,155,540,66,118,0.29,"Sales;Support","None",3.7,0.46,124800.00
7,215,480,102,102,0.25,"Support","CRM",3.9,0.51,183600.00
9,275,440,138,96,0.23,"Support;Tech","CRM;IVR",4.0,0.54,242400.00
11,335,410,174,90,0.21,"Support;Sales","CRM;WFM",4.1,0.56,301200.00
13,395,385,210,86,0.20,"Support;Tech","CRM;AI",4.2,0.58,360000.00
15,455,365,246,82,0.19,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,418800.00
17,515,350,282,78,0.18,"Support;Tech","CRM;AI;WFM",4.3,0.61,477600.00
19,575,335,318,76,0.17,"Support;Sales","CRM;AI;WFM",4.4,0.62,536400.00
21,635,320,354,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,595200.00
6,210,420,84,104,0.25,"Sales","None",3.8,0.48,168000.00
8,270,380,120,96,0.22,"Support;Sales","CRM",4.0,0.53,216000.00
10,330,350,156,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,264000.00
12,390,330,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,312000.00
14,450,315,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,360000.00
16,510,300,264,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,408000.00
18,570,290,300,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,456000.00
20,630,280,336,72,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,504000.00
22,690,270,372,70,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,552000.00
24,750,260,408,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.65,600000.00
6,220,340,95,85,0.21,"Support;Sales","CRM;IVR",4.1,0.66,151200.00
8,300,320,120,80,0.19,"Support;Tech","CRM;WFM",4.2,0.68,201600.00
10,360,300,150,75,0.18,"Support;Sales;Tech","CRM;AI",4.3,0.70,252000.00
12,420,285,180,72,0.17,"Support;Tech","CRM;AI;CTI",4.3,0.71,302400.00
14,480,270,210,70,0.16,"Support;Sales","CRM;WFM",4.4,0.72,352800.00
16,540,260,240,68,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.73,403200.00
18,600,250,270,66,0.14,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.74,453600.00
20,660,240,300,64,0.13,"Support;Tech","CRM;AI;WFM",4.5,0.75,504000.00
22,720,230,330,62,0.12,"Support;Sales","CRM;AI;WFM",4.6,0.76,554400.00
24,780,220,360,60,0.11,"Support;Tech","CRM;AI;WFM",4.6,0.77,604800.00
5,160,480,60,110,0.27,"Sales","None",3.7,0.47,72000.00
7,200,440,90,102,0.24,"Sales;Support","CRM",3.9,0.51,126000.00
9,240,400,120,94,0.22,"Support","CRM;Training",4.0,0.54,180000.00
11,280,370,150,88,0.20,"Support;Tech","CRM;IVR",4.1,0.56,234000.00
13,320,350,180,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,288000.00
15,360,335,210,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,342000.00
17,400,320,240,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,396000.00
19,440,305,270,74,0.16,"Support","CRM;AI;WFM",4.4,0.62,450000.00
21,480,295,300,72,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.63,504000.00
23,520,285,330,70,0.14,"Support;Sales","CRM;AI;WFM",4.5,0.64,558000.00
4,120,520,48,118,0.30,"Sales","None",3.6,0.45,57600.00
6,180,460,80,105,0.26,"Sales;Support","None",3.8,0.50,115200.00
8,240,420,112,96,0.23,"Support","CRM",4.0,0.54,172800.00
10,300,390,144,90,0.21,"Support;Tech","CRM;IVR",4.1,0.57,230400.00
12,360,365,176,84,0.19,"Support;Sales","CRM;WFM",4.2,0.59,288000.00
14,420,345,208,80,0.18,"Support;Tech","CRM;AI",4.3,0.61,345600.00
16,480,330,240,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,403200.00
18,540,315,272,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,460800.00
20,600,300,304,72,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.64,518400.00
22,660,290,336,70,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.65,576000.00
3,85,640,28,138,0.36,"Sales","None",3.5,0.40,40800.00
5,145,560,64,118,0.29,"Sales;Support","None",3.7,0.46,116000.00
7,205,500,100,102,0.25,"Support","CRM",3.9,0.51,174000.00
9,265,460,136,96,0.23,"Support;Tech","CRM;IVR",4.0,0.54,232000.00
11,325,430,172,90,0.21,"Support;Sales","CRM;WFM",4.1,0.56,290000.00
13,385,405,208,86,0.20,"Support;Tech","CRM;AI",4.2,0.58,348000.00
15,445,385,244,82,0.19,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,406000.00
17,505,370,280,78,0.18,"Support;Tech","CRM;AI;WFM",4.3,0.61,464000.00
19,565,355,316,76,0.17,"Support;Sales","CRM;AI;WFM",4.4,0.62,522000.00
21,625,340,352,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,580000.00
6,200,430,84,106,0.25,"Sales","None",3.8,0.48,96000.00
8,260,390,120,96,0.22,"Support;Sales","CRM",4.0,0.53,156000.00
10,320,360,156,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,208000.00
12,380,340,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,260000.00
14,440,325,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,312000.00
16,500,310,264,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,364000.00
18,560,295,300,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,416000.00
20,620,285,336,72,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,468000.00
22,680,275,372,70,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,520000.00
24,740,265,408,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.65,572000.00
4,130,500,52,116,0.30,"Sales","None",3.6,0.45,78000.00
6,190,450,88,102,0.26,"Sales;Support","None",3.8,0.50,144000.00
8,250,410,124,94,0.23,"Support","CRM",4.0,0.54,210000.00
10,310,380,160,88,0.21,"Support;Tech","CRM;IVR",4.1,0.57,276000.00
12,370,355,196,82,0.19,"Support;Sales","CRM;WFM",4.2,0.59,342000.00
14,430,335,232,78,0.18,"Support;Tech","CRM;AI",4.3,0.61,408000.00
16,490,320,268,74,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,474000.00
18,550,305,304,72,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,540000.00
20,610,295,340,70,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.64,606000.00
22,670,285,376,68,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.65,672000.00
3,95,620,30,140,0.35,"Sales","None",3.5,0.40,45600.00
5,155,540,66,118,0.29,"Sales;Support","None",3.7,0.46,124800.00
7,215,480,102,102,0.25,"Support","CRM",3.9,0.51,183600.00
9,275,440,138,96,0.23,"Support;Tech","CRM;IVR",4.0,0.54,242400.00
11,335,410,174,90,0.21,"Support;Sales","CRM;WFM",4.1,0.56,301200.00
13,395,385,210,86,0.20,"Support;Tech","CRM;AI",4.2,0.58,360000.00
15,455,365,246,82,0.19,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.60,418800.00
17,515,350,282,78,0.18,"Support;Tech","CRM;AI;WFM",4.3,0.61,477600.00
19,575,335,318,76,0.17,"Support;Sales","CRM;AI;WFM",4.4,0.62,536400.00
21,635,320,354,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,595200.00
6,210,420,84,104,0.25,"Sales","None",3.8,0.48,168000.00
8,270,380,120,96,0.22,"Support;Sales","CRM",4.0,0.53,216000.00
10,330,350,156,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,264000.00
12,390,330,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,312000.00
14,450,315,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,360000.00
16,510,300,264,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,408000.00
18,570,290,300,74,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,456000.00
20,630,280,336,72,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,504000.00
22,690,270,372,70,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,552000.00
24,750,260,408,68,0.13,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.65,600000.00
6,240,360,90,85,0.20,"Support","CRM;IVR",4.0,0.60,86400.00
8,300,320,120,80,0.18,"Support;Sales","CRM;WFM",4.1,0.62,129600.00
10,360,300,150,75,0.17,"Support;Tech","CRM;AI",4.2,0.65,172800.00
12,420,280,180,70,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.67,216000.00
14,480,260,210,68,0.15,"Support","CRM;WFM",4.3,0.68,259200.00
16,540,250,240,66,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.69,302400.00
18,600,240,270,64,0.13,"Support;Sales","CRM;AI;WFM",4.4,0.70,345600.00
20,660,230,300,62,0.12,"Support;Tech","CRM;AI;WFM",4.5,0.71,388800.00
22,720,220,330,60,0.11,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.72,432000.00
24,780,210,360,58,0.10,"Support","CRM;AI;WFM",4.6,0.73,475200.00
5,160,420,60,110,0.28,"Sales","None",3.7,0.46,57600.00
7,200,380,80,100,0.25,"Sales;Support","CRM",3.8,0.50,86400.00
9,240,350,100,95,0.23,"Support","CRM;Training",3.9,0.53,115200.00
11,280,330,120,90,0.21,"Support;Tech","CRM;IVR",4.0,0.55,144000.00
13,320,310,140,86,0.20,"Support;Sales","CRM;WFM",4.1,0.57,172800.00
15,360,295,160,82,0.19,"Support;Tech","CRM;AI",4.2,0.59,201600.00
17,400,285,180,80,0.18,"Support;Sales;Tech","CRM;AI;CTI",4.2,0.60,230400.00
19,440,275,200,78,0.17,"Support","CRM;AI;WFM",4.3,0.61,259200.00
21,480,265,220,76,0.16,"Support;Tech","CRM;AI;WFM",4.3,0.62,288000.00
23,520,255,240,74,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,316800.00
4,120,480,45,120,0.30,"Sales","None",3.6,0.44,38400.00
6,180,420,75,105,0.26,"Sales;Support","None",3.8,0.49,86400.00
8,240,380,105,95,0.23,"Support","CRM",4.0,0.54,144000.00
10,300,350,135,88,0.21,"Support;Tech","CRM;IVR",4.1,0.57,216000.00
12,360,330,165,82,0.19,"Support;Sales","CRM;WFM",4.2,0.59,288000.00
14,420,310,195,78,0.18,"Support;Tech","CRM;AI",4.3,0.61,360000.00
16,480,295,225,75,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,432000.00
18,540,285,255,72,0.16,"Support","CRM;AI;WFM",4.4,0.63,504000.00
20,600,275,285,70,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.64,576000.00
22,660,265,315,68,0.14,"Support;Sales","CRM;AI;WFM",4.5,0.65,648000.00
3,90,600,30,140,0.35,"Sales","None",3.5,0.40,28800.00
5,150,520,60,115,0.28,"Sales;Support","None",3.7,0.47,72000.00
7,210,460,90,100,0.24,"Support","CRM",3.9,0.52,126000.00
9,270,420,120,92,0.22,"Support;Tech","CRM;IVR",4.0,0.55,162000.00
11,330,390,150,86,0.20,"Support;Sales","CRM;WFM",4.1,0.57,198000.00
13,390,360,180,80,0.19,"Support;Tech","CRM;AI",4.2,0.59,234000.00
15,450,340,210,76,0.18,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,270000.00
17,510,320,240,72,0.17,"Support","CRM;AI;WFM",4.3,0.62,306000.00
19,570,305,270,70,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.63,342000.00
21,630,295,300,68,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.64,378000.00
6,200,410,80,108,0.25,"Sales","None",3.8,0.48,96000.00
8,260,370,110,98,0.22,"Support;Sales","CRM",4.0,0.53,156000.00
10,320,340,140,90,0.20,"Support;Tech","CRM;IVR",4.1,0.56,208000.00
12,380,320,170,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,260000.00
14,440,305,200,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,312000.00
16,500,290,230,76,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,364000.00
18,560,280,260,74,0.16,"Support","CRM;AI;WFM",4.4,0.62,416000.00
20,620,270,290,72,0.15,"Support;Tech","CRM;AI;WFM",4.4,0.63,468000.00
22,680,260,320,70,0.14,"Support;Sales","CRM;AI;WFM",4.5,0.64,520000.00
24,740,250,350,68,0.13,"Support;Tech","CRM;AI;WFM",4.5,0.65,572000.00
4,140,500,50,118,0.29,"Sales","None",3.6,0.45,56000.00
6,210,440,85,102,0.24,"Sales;Support","None",3.8,0.50,126000.00
8,280,400,120,94,0.21,"Support","CRM",4.0,0.54,192000.00
10,350,370,155,88,0.19,"Support;Tech","CRM;IVR",4.1,0.57,260000.00
12,420,350,190,82,0.18,"Support;Sales","CRM;WFM",4.2,0.59,328000.00
14,490,330,225,78,0.17,"Support;Tech","CRM;AI",4.3,0.61,396000.00
16,560,315,260,74,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,464000.00
18,630,300,295,72,0.15,"Support","CRM;AI;WFM",4.4,0.63,532000.00
20,700,290,330,70,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.64,600000.00
22,770,280,365,68,0.13,"Support;Sales","CRM;AI;WFM",4.5,0.65,668000.00
5,175,470,65,112,0.27,"Sales","None",3.7,0.46,87500.00
7,245,430,100,100,0.23,"Sales;Support","CRM",3.9,0.51,171500.00
9,315,390,135,92,0.21,"Support","CRM;Training",4.0,0.54,257000.00
11,385,360,170,86,0.19,"Support;Tech","CRM;IVR",4.1,0.56,343000.00
13,455,340,205,80,0.18,"Support;Sales","CRM;WFM",4.2,0.58,429000.00
15,525,320,240,76,0.17,"Support;Tech","CRM;AI",4.3,0.60,515000.00
17,595,305,275,74,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,601000.00
19,665,295,310,72,0.15,"Support","CRM;AI;WFM",4.4,0.62,687000.00
21,735,285,345,70,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.63,773000.00
23,805,275,380,68,0.13,"Support;Sales","CRM;AI;WFM",4.5,0.64,859000.00
6,240,360,90,86,0.20,"Support","CRM;IVR",4.0,0.60,86400.00
8,320,320,120,80,0.18,"Support;Sales","CRM;WFM",4.1,0.62,153600.00
10,400,300,150,75,0.17,"Support;Tech","CRM;AI",4.2,0.65,240000.00
12,480,280,180,70,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.67,326400.00
14,560,260,210,68,0.15,"Support","CRM;WFM",4.3,0.68,412800.00
16,640,250,240,66,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.69,499200.00
18,720,240,270,64,0.13,"Support;Sales","CRM;AI;WFM",4.4,0.70,585600.00
20,800,230,300,62,0.12,"Support;Tech","CRM;AI;WFM",4.5,0.71,672000.00
22,880,220,330,60,0.11,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.72,758400.00
24,960,210,360,58,0.10,"Support","CRM;AI;WFM",4.6,0.73,844800.00
5,150,500,60,115,0.26,"Sales","None",3.7,0.48,75000.00
7,210,440,100,102,0.23,"Sales;Support","CRM",3.9,0.52,157500.00
9,270,400,140,94,0.21,"Support","CRM;Training",4.0,0.55,240000.00
11,330,370,180,88,0.19,"Support;Tech","CRM;IVR",4.1,0.57,322500.00
13,390,350,220,82,0.18,"Support;Sales","CRM;WFM",4.2,0.59,405000.00
15,450,330,260,78,0.17,"Support;Tech","CRM;AI",4.3,0.61,487500.00
17,510,315,300,74,0.16,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.62,570000.00
19,570,300,340,72,0.15,"Support","CRM;AI;WFM",4.4,0.63,652500.00
21,630,290,380,70,0.14,"Support;Tech","CRM;AI;WFM",4.4,0.64,735000.00
23,690,280,420,68,0.13,"Support;Sales","CRM;AI;WFM",4.5,0.65,817500.00
6,220,350,92,86,0.21,"Support;Sales","CRM;IVR",4.1,0.65,138240.00
8,280,320,118,80,0.19,"Support;Tech","CRM;WFM",4.2,0.67,184320.00
10,340,300,145,76,0.18,"Support;Sales","CRM;AI",4.3,0.69,230400.00
12,400,285,172,72,0.17,"Support;Tech","CRM;AI;CTI",4.3,0.70,276480.00
14,460,270,199,70,0.16,"Support;Sales;Tech","CRM;AI;WFM",4.4,0.71,322560.00
16,520,260,226,68,0.15,"Support;Tech","CRM;WFM",4.4,0.72,368640.00
18,580,250,253,66,0.14,"Support;Sales","CRM;Training",4.4,0.73,414720.00
20,640,240,280,64,0.13,"Support;Tech","CRM;AI",4.5,0.74,460800.00
22,700,235,307,62,0.12,"Support;Sales;Tech","CRM;AI;WFM",4.5,0.75,506880.00
24,760,230,334,60,0.12,"Support;Tech","CRM;AI;CTI",4.6,0.76,552960.00
5,150,480,48,112,0.28,"Sales","None",3.6,0.44,67200.00
7,210,420,84,100,0.24,"Sales;Support","CRM",3.8,0.50,134400.00
9,270,380,120,92,0.22,"Support","CRM;Training",4.0,0.54,201600.00
11,330,350,156,88,0.20,"Support;Tech","CRM;IVR",4.1,0.56,268800.00
13,390,330,192,84,0.19,"Support;Sales","CRM;WFM",4.2,0.58,336000.00
15,450,315,228,80,0.18,"Support;Tech","CRM;AI",4.3,0.60,403200.00
17,510,300,264,78,0.17,"Support;Sales;Tech","CRM;AI;CTI",4.3,0.61,470400.00
19,570,285,300,76,0.16,"Support;Tech","CRM;AI;WFM",4.4,0.62,537600.00
21,630,275,336,74,0.15,"Support;Sales","CRM;AI;WFM",4.4,0.63,604800.00
23,690,265,372,72,0.14,"Support;Tech","CRM;AI;WFM",4.5,0.64,672000.00
